I
810 Version
2   54.41196667  018.32663889    495   464  50       0.0   GDC  GDANSK   NDB
2   54.38543889  018.43375000    490   444  50       0.0   GDD  GDANSK   NDB
4   54.38252200  018.44615600    489 11030  18     292.962 IGDA EPGD 29  ILS-cat-I
6   54.37172800  018.48512200    456 11030  10  290292.980 IGDA EPGD 29  GS
12  54.37172800  018.48512200    492 11030  18       0.200 IGDA EPGD 29  DME-ILS
4   54.37021700  018.49596300    480 10930  18     112.962 IGDB EPGD 11  ILS-cat-I
6   54.37552000  018.45525200    437 10930  10  290112.962 IGDB EPGD 11  GS
7   54.41196667  018.32663889    607     0   0     112.962 ---- EPGD 11  OM
8   54.38543889  018.43375000    412     0   0     112.962 ---- EPGD 11  MM
12  54.37942000  018.45525200    439 10930  18       0.200 IGDB EPGD 11  DME-ILS
99

